log_id,full_name,student_id,roll_number,class_section,biometric_id,date,time_in,time_out,attendance_status,fingerprint_template,finger_used,match_score,scan_quality,scan_attempts,scan_result,device_id,device_name,subject_code,subject_name,day,reader_location,biometric_status
BIO00001351,Kedar Chatterjee,UGF23AI250,A51,CSE-AIML-A,BIO0250,2024-07-04,14:03:00,15:03:00,Present,FP-UGF23AI250-F01,Right Index,83.43,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001352,Jayesh Pawar,UGF23AI251,B51,CSE-AIML-B,BIO0251,2024-07-04,,,Absent,FP-UGF23AI251-F04,Right Little,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001353,Yamini Das Ahuja,UGF23AI252,C51,CSE-AIML-C,BIO0252,2024-07-04,14:01:00,14:59:00,Present,FP-UGF23AI252-F00,Right Thumb,77.95,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001354,Yamini Rao Pillai,UGF23AI253,A52,CSE-AIML-A,BIO0253,2024-07-04,14:02:00,14:54:00,Present,FP-UGF23AI253-F02,Right Middle,99.31,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001355,Priya Ram Ahuja,UGF23AI254,B52,CSE-AIML-B,BIO0254,2024-07-04,14:01:00,14:58:00,Present,FP-UGF23AI254-F03,Right Ring,86.77,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001356,Amrita Rao Banerjee,UGF23AI255,C52,CSE-AIML-C,BIO0255,2024-07-04,14:02:00,15:01:00,Present,FP-UGF23AI255-F03,Right Ring,89.56,Excellent,2,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001357,Ravi Lal Verma,UGF23AI256,A53,CSE-AIML-A,BIO0256,2024-07-04,,,Absent,FP-UGF23AI256-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001358,Vidya Ram Reddy,UGF23AI257,B53,CSE-AIML-B,BIO0257,2024-07-04,14:02:00,14:49:00,Present,FP-UGF23AI257-F03,Right Ring,97.07,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001359,Deepika Kumar,UGF23AI258,C53,CSE-AIML-C,BIO0258,2024-07-04,14:01:00,14:49:00,Present,FP-UGF23AI258-F00,Right Thumb,99.72,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001360,Deepika Kharat,UGF23AI259,A54,CSE-AIML-A,BIO0259,2024-07-04,,,Absent,FP-UGF23AI259-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001361,Seema Sai Chopra,UGF23AI260,B54,CSE-AIML-B,BIO0260,2024-07-04,14:00:00,14:56:00,Present,FP-UGF23AI260-F01,Right Index,90.01,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001362,Girish Bhange,UGF23AI261,C54,CSE-AIML-C,BIO0261,2024-07-04,,,Absent,FP-UGF23AI261-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001363,Gaurav Hivrale,UGF23AI262,A55,CSE-AIML-A,BIO0262,2024-07-04,14:02:00,14:53:00,Present,FP-UGF23AI262-F00,Right Thumb,87.78,Poor,2,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001364,Vidya Chand Waghmare,UGF23AI263,B55,CSE-AIML-B,BIO0263,2024-07-04,14:01:00,14:47:00,Present,FP-UGF23AI263-F02,Right Middle,91.17,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001365,Esha Das Bhange,UGF23AI264,C55,CSE-AIML-C,BIO0264,2024-07-04,,,Absent,FP-UGF23AI264-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001366,Divya Ram Junghare,UGF23AI265,A56,CSE-AIML-A,BIO0265,2024-07-04,14:03:00,14:50:00,Present,FP-UGF23AI265-F00,Right Thumb,83.29,Excellent,2,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001367,Geeta Prakash Nair,UGF23AI266,B56,CSE-AIML-B,BIO0266,2024-07-04,,,Absent,FP-UGF23AI266-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001368,Jiya Devi Hatwar,UGF23AI267,C56,CSE-AIML-C,BIO0267,2024-07-04,14:02:00,14:59:00,Present,FP-UGF23AI267-F00,Right Thumb,79.97,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001369,Aditya Pillai,UGF23AI268,A57,CSE-AIML-A,BIO0268,2024-07-04,14:03:00,14:58:00,Present,FP-UGF23AI268-F03,Right Ring,84.13,Good,3,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001370,Nikhil Prakash Bhatia,UGF23AI269,B57,CSE-AIML-B,BIO0269,2024-07-04,14:01:00,14:57:00,Present,FP-UGF23AI269-F03,Right Ring,92.91,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001371,Sakshi Ingle,UGF23AI270,C57,CSE-AIML-C,BIO0270,2024-07-04,14:00:00,14:55:00,Present,FP-UGF23AI270-F01,Right Index,96.45,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001372,Kiran Tiwari,UGF23AI271,A58,CSE-AIML-A,BIO0271,2024-07-04,14:01:00,14:48:00,Present,FP-UGF23AI271-F03,Right Ring,79.41,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001373,Sneha Prakash Londhe,UGF23AI272,B58,CSE-AIML-B,BIO0272,2024-07-04,14:08:00,14:53:00,Late,FP-UGF23AI272-F04,Right Little,93.34,Good,2,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001374,Dev Sai Pawar,UGF23AI273,C58,CSE-AIML-C,BIO0273,2024-07-04,14:03:00,15:08:00,Present,FP-UGF23AI273-F02,Right Middle,96.75,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001375,Mithun Sai Waghmare,UGF23AI274,A59,CSE-AIML-A,BIO0274,2024-07-04,14:01:00,14:48:00,Present,FP-UGF23AI274-F04,Right Little,79.62,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001376,Vishal Sai Shah,UGF23AI275,B59,CSE-AIML-B,BIO0275,2024-07-04,14:01:00,14:47:00,Present,FP-UGF23AI275-F04,Right Little,92.85,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001377,Anika Shah,UGF23AI276,C59,CSE-AIML-C,BIO0276,2024-07-04,14:03:00,15:07:00,Present,FP-UGF23AI276-F01,Right Index,92.59,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001378,Ekta Chatterjee,UGF23AI277,A60,CSE-AIML-A,BIO0277,2024-07-04,14:03:00,14:53:00,Present,FP-UGF23AI277-F00,Right Thumb,87.64,Excellent,3,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001379,Disha Sai Lokhande,UGF23AI278,B60,CSE-AIML-B,BIO0278,2024-07-04,14:01:00,14:49:00,Present,FP-UGF23AI278-F01,Right Index,92.5,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001380,Ila Devi Dange,UGF23AI279,C60,CSE-AIML-C,BIO0279,2024-07-04,14:01:00,14:58:00,Present,FP-UGF23AI279-F02,Right Middle,90.82,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001381,Kalpesh Prakash Hande,UGF23AI280,A61,CSE-AIML-A,BIO0280,2024-07-04,14:03:00,14:56:00,Present,FP-UGF23AI280-F04,Right Little,95.53,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001382,Rohit Bala Mehta,UGF23AI281,B61,CSE-AIML-B,BIO0281,2024-07-04,14:02:00,14:56:00,Present,FP-UGF23AI281-F04,Right Little,93.78,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001383,Onkar Nath Ambhore,UGF23AI282,C61,CSE-AIML-C,BIO0282,2024-07-04,14:03:00,14:50:00,Present,FP-UGF23AI282-F01,Right Index,91.78,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001384,Disha Pawar,UGF23AI283,A62,CSE-AIML-A,BIO0283,2024-07-04,,,Absent,FP-UGF23AI283-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001385,Soham Nath Kale,UGF23AI284,B62,CSE-AIML-B,BIO0284,2024-07-04,14:02:00,15:06:00,Present,FP-UGF23AI284-F04,Right Little,91.89,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001386,Ila Raj Ingole,UGF23AI285,C62,CSE-AIML-C,BIO0285,2024-07-04,14:03:00,14:59:00,Present,FP-UGF23AI285-F01,Right Index,87.44,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001387,Rohit Shankar Hande,UGF23AI286,A63,CSE-AIML-A,BIO0286,2024-07-04,,,Absent,FP-UGF23AI286-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001388,Indira Bhatia,UGF23AI287,B63,CSE-AIML-B,BIO0287,2024-07-04,14:00:00,14:56:00,Present,FP-UGF23AI287-F04,Right Little,85.2,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001389,Babita Lal Kulkarni,UGF23AI288,C63,CSE-AIML-C,BIO0288,2024-07-04,,,Absent,FP-UGF23AI288-F01,Right Index,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001390,Hemant Chand More,UGF23AI289,A64,CSE-AIML-A,BIO0289,2024-07-04,14:03:00,15:02:00,Present,FP-UGF23AI289-F00,Right Thumb,78.8,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001391,Tariq Shankar Pawar,UGF23AI290,B64,CSE-AIML-B,BIO0290,2024-07-04,,,Absent,FP-UGF23AI290-F04,Right Little,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001392,Mukesh Verma,UGF23AI291,C64,CSE-AIML-C,BIO0291,2024-07-04,,,Absent,FP-UGF23AI291-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001393,Anjali Chand Nair,UGF23AI292,A65,CSE-AIML-A,BIO0292,2024-07-04,,,Absent,FP-UGF23AI292-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001394,Divya Lal Hande,UGF23AI293,B65,CSE-AIML-B,BIO0293,2024-07-04,14:01:00,14:58:00,Present,FP-UGF23AI293-F00,Right Thumb,84.11,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001395,Harsha Prasad Shah,UGF23AI294,C65,CSE-AIML-C,BIO0294,2024-07-04,,,Absent,FP-UGF23AI294-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001396,Ekta Shankar Yadav,UGF23AI295,A66,CSE-AIML-A,BIO0295,2024-07-04,14:01:00,14:49:00,Present,FP-UGF23AI295-F01,Right Index,75.41,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001397,Manish Das Upadhyay,UGF23AI296,B66,CSE-AIML-B,BIO0296,2024-07-04,14:01:00,14:55:00,Present,FP-UGF23AI296-F04,Right Little,95.66,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001398,Jatin Ghosh,UGF23AI297,C66,CSE-AIML-C,BIO0297,2024-07-04,14:03:00,15:01:00,Present,FP-UGF23AI297-F01,Right Index,85.83,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001399,Nilesh Ram Kulkarni,UGF23AI298,A67,CSE-AIML-A,BIO0298,2024-07-04,14:00:00,14:47:00,Present,FP-UGF23AI298-F02,Right Middle,98.73,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001400,Bhavna Raj Bhosale,UGF23AI299,B67,CSE-AIML-B,BIO0299,2024-07-04,14:03:00,14:54:00,Present,FP-UGF23AI299-F03,Right Ring,85.37,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001401,Gaurav Jain,UGF23AI300,C67,CSE-AIML-C,BIO0300,2024-07-04,14:03:00,15:07:00,Present,FP-UGF23AI300-F04,Right Little,78.03,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001402,Kalpesh Mishra,UGF23AI301,A68,CSE-AIML-A,BIO0301,2024-07-04,,,Absent,FP-UGF23AI301-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001403,Lakshmi Chand Patil,UGF23AI302,B68,CSE-AIML-B,BIO0302,2024-07-04,14:02:00,15:05:00,Present,FP-UGF23AI302-F02,Right Middle,99.16,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001404,Nikhil Rao Agarwal,UGF23AI303,C68,CSE-AIML-C,BIO0303,2024-07-04,14:02:00,14:54:00,Present,FP-UGF23AI303-F00,Right Thumb,97.66,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001405,Mohit Nath Kumar,UGF23AI304,A69,CSE-AIML-A,BIO0304,2024-07-04,,,Absent,FP-UGF23AI304-F01,Right Index,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001406,Iqbal Raj Chopra,UGF23AI305,B69,CSE-AIML-B,BIO0305,2024-07-04,14:02:00,15:05:00,Present,FP-UGF23AI305-F03,Right Ring,94.77,Good,2,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001407,Esha Bala Pandey,UGF23AI306,C69,CSE-AIML-C,BIO0306,2024-07-04,,,Absent,FP-UGF23AI306-F01,Right Index,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001408,Abhishek Kumar Fernandes,UGF23AI307,A70,CSE-AIML-A,BIO0307,2024-07-04,,,Absent,FP-UGF23AI307-F02,Right Middle,0.0,,0,Device Inactive,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Inactive
BIO00001409,Harsha Raj Mukherjee,UGF23AI308,B70,CSE-AIML-B,BIO0308,2024-07-04,,,Absent,FP-UGF23AI308-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001410,Lakshmi Das Wagh,UGF23AI309,C70,CSE-AIML-C,BIO0309,2024-07-04,14:01:00,14:53:00,Present,FP-UGF23AI309-F02,Right Middle,87.17,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001411,Nikhil Lokhande,UGF23AI310,A71,CSE-AIML-A,BIO0310,2024-07-04,14:12:00,14:59:00,Late,FP-UGF23AI310-F02,Right Middle,88.18,Good,2,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001412,Bharat Singh,UGF23AI311,B71,CSE-AIML-B,BIO0311,2024-07-04,,,Absent,FP-UGF23AI311-F00,Right Thumb,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001413,Girish Ambhore,UGF23AI312,C71,CSE-AIML-C,BIO0312,2024-07-04,,,Absent,FP-UGF23AI312-F03,Right Ring,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001414,Tariq Prakash More,UGF23AI313,A72,CSE-AIML-A,BIO0313,2024-07-04,14:01:00,14:54:00,Present,FP-UGF23AI313-F04,Right Little,92.73,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001415,Yamini Ram Patil,UGF23AI314,B72,CSE-AIML-B,BIO0314,2024-07-04,14:00:00,14:55:00,Present,FP-UGF23AI314-F04,Right Little,83.87,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001416,Om Chand Upadhyay,UGF23AI315,C72,CSE-AIML-C,BIO0315,2024-07-04,,,Absent,FP-UGF23AI315-F04,Right Little,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001417,Manish Sai Iyer,UGF23AI316,A73,CSE-AIML-A,BIO0316,2024-07-04,,,Absent,FP-UGF23AI316-F04,Right Little,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001418,Siddharth Nath Patel,UGF23AI317,B73,CSE-AIML-B,BIO0317,2024-07-04,,,Absent,FP-UGF23AI317-F02,Right Middle,0.0,,0,Device Inactive,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Inactive
BIO00001419,Rohit Chand Vaghmare,UGF23AI318,C73,CSE-AIML-C,BIO0318,2024-07-04,14:01:00,15:06:00,Present,FP-UGF23AI318-F04,Right Little,79.69,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001420,Anika Rao Bhange,UGF23AI319,A74,CSE-AIML-A,BIO0319,2024-07-04,14:14:00,15:06:00,Late,FP-UGF23AI319-F03,Right Ring,94.69,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001421,Rekha Kumar Fernandes,UGF23AI320,B74,CSE-AIML-B,BIO0320,2024-07-04,14:01:00,14:55:00,Present,FP-UGF23AI320-F02,Right Middle,75.63,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001422,Yamini Londhe,UGF23AI321,C74,CSE-AIML-C,BIO0321,2024-07-04,14:01:00,15:00:00,Present,FP-UGF23AI321-F04,Right Little,90.58,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001423,Nisha Kharat,UGF23AI322,A75,CSE-AIML-A,BIO0322,2024-07-04,14:17:00,15:10:00,Late,FP-UGF23AI322-F01,Right Index,79.92,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001424,Kamla Kumar,UGF23AI323,B75,CSE-AIML-B,BIO0323,2024-07-04,14:00:00,14:48:00,Present,FP-UGF23AI323-F01,Right Index,76.31,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001425,Gunjan Devi Fernandes,UGF23AI324,C75,CSE-AIML-C,BIO0324,2024-07-04,14:03:00,15:05:00,Present,FP-UGF23AI324-F01,Right Index,75.63,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001426,Gunjan Sai Pawar,UGF23AI325,A76,CSE-AIML-A,BIO0325,2024-07-04,14:00:00,15:05:00,Present,FP-UGF23AI325-F00,Right Thumb,82.04,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001427,Vanshika Chand Shah,UGF23AI326,B76,CSE-AIML-B,BIO0326,2024-07-04,14:13:00,15:00:00,Late,FP-UGF23AI326-F01,Right Index,98.08,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001428,Nikhil Hivrale,UGF23AI327,C76,CSE-AIML-C,BIO0327,2024-07-04,14:00:00,14:56:00,Present,FP-UGF23AI327-F01,Right Index,99.21,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001429,Chetna Yadav,UGF23AI328,A77,CSE-AIML-A,BIO0328,2024-07-04,14:00:00,15:01:00,Present,FP-UGF23AI328-F00,Right Thumb,85.37,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001430,Pallavi Prasad Banerjee,UGF23AI329,B77,CSE-AIML-B,BIO0329,2024-07-04,14:15:00,15:05:00,Late,FP-UGF23AI329-F00,Right Thumb,77.87,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001431,Omkar Chand Lal,UGF23AI330,C77,CSE-AIML-C,BIO0330,2024-07-04,14:00:00,14:46:00,Present,FP-UGF23AI330-F00,Right Thumb,91.01,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001432,Isha Mane,UGF23AI331,A78,CSE-AIML-A,BIO0331,2024-07-04,14:01:00,14:50:00,Present,FP-UGF23AI331-F00,Right Thumb,87.46,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001433,Ramesh Shankar Kulkarni,UGF23AI332,B78,CSE-AIML-B,BIO0332,2024-07-04,14:18:00,15:03:00,Late,FP-UGF23AI332-F01,Right Index,91.67,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001434,Chetna Ram Upadhyay,UGF23AI333,C78,CSE-AIML-C,BIO0333,2024-07-04,14:01:00,14:53:00,Present,FP-UGF23AI333-F04,Right Little,89.51,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001435,Esha Prasad Vaidya,UGF23AI334,A79,CSE-AIML-A,BIO0334,2024-07-04,14:01:00,14:58:00,Present,FP-UGF23AI334-F03,Right Ring,80.3,Good,2,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001436,Gunjan Ram Nambiar,UGF23AI335,B79,CSE-AIML-B,BIO0335,2024-07-04,14:02:00,15:03:00,Present,FP-UGF23AI335-F02,Right Middle,84.67,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001437,Ritika Lal Ahuja,UGF23AI336,C79,CSE-AIML-C,BIO0336,2024-07-04,14:02:00,14:59:00,Present,FP-UGF23AI336-F02,Right Middle,77.97,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001438,Jagdish More,UGF23AI337,A80,CSE-AIML-A,BIO0337,2024-07-04,14:03:00,14:54:00,Present,FP-UGF23AI337-F00,Right Thumb,79.6,Excellent,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001439,Farhan Shankar Mishra,UGF23AI338,B80,CSE-AIML-B,BIO0338,2024-07-04,,,Absent,FP-UGF23AI338-F02,Right Middle,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001440,Sumit Jadhav,UGF23AI339,C80,CSE-AIML-C,BIO0339,2024-07-04,,,Absent,FP-UGF23AI339-F04,Right Little,0.0,,0,No Scan,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001441,Neha Kaur,UGF23AI340,A81,CSE-AIML-A,BIO0340,2024-07-04,14:02:00,14:53:00,Present,FP-UGF23AI340-F02,Right Middle,97.08,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001442,Jatin Bala Upadhyay,UGF23AI341,B81,CSE-AIML-B,BIO0341,2024-07-04,14:02:00,14:53:00,Present,FP-UGF23AI341-F02,Right Middle,87.73,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001443,Indira Vaidya,UGF23AI342,C81,CSE-AIML-C,BIO0342,2024-07-04,14:03:00,15:00:00,Present,FP-UGF23AI342-F00,Right Thumb,92.93,Good,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
BIO00001444,Wasim Das Mishra,UGF23AI343,A82,CSE-AIML-A,BIO0343,2024-07-04,14:03:00,15:05:00,Present,FP-UGF23AI343-F01,Right Index,89.86,Average,1,Match Success,RDR-BIO-004,Startek FM220U,AIPC353T,NLP & Text Analytics,Thursday,Room-202,Active
