full_name,first_name,middle_name,last_name,gender,date_of_birth,student_id,roll_number,enrollment_number,department,course,year_semester,class_section,mobile_number,email_id,guardian_name,parent_contact,biometric_id,registered_finger,fingerprint_template,minutiae_count,enrollment_device,enrollment_date,biometric_status,backup_finger
Vidya Rao Waghmare,Vidya,Rao,Waghmare,Female,2003-11-12,UGF23AI175,A26,EN2423AI175,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9231167999,vidya.waghmare68@jit.edu,Mr. Rajesh Waghmare,9327746886,BIO0175,Right Middle,FP-UGF23AI175-F02,59,Startek FM220U,2024-06-25,Active,Right Thumb
Vishal Das Kulkarni,Vishal,Das,Kulkarni,Female,2003-10-07,UGF23AI176,B26,EN2423AI176,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9331875999,vishal.kulkarni39@jit.edu,Dr. Leela Kulkarni,9258435089,BIO0176,Right Index,FP-UGF23AI176-F01,68,Secugen Hamster Pro,2024-06-24,Active,Right Thumb
Meera Lal Waghmare,Meera,Lal,Waghmare,Female,2003-05-26,UGF23AI177,C26,EN2423AI177,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9115956152,meera.waghmare55@jit.edu,Mrs. Harsh Waghmare,9447646966,BIO0177,Right Thumb,FP-UGF23AI177-F00,19,ZKTeco K40,2024-06-21,Active,Right Index
Isha Mehta,Isha,,Mehta,Female,2003-12-03,UGF23AI178,A27,EN2423AI178,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9737444033,isha.mehta23@jit.edu,Prof. Urmila Mehta,9337887233,BIO0178,Right Middle,FP-UGF23AI178-F02,57,Startek FM220U,2024-06-11,Active,Left Little
Onkar Kumar Mishra,Onkar,Kumar,Mishra,Male,2003-08-28,UGF23AI179,B27,EN2423AI179,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9864935082,onkar.mishra66@jit.edu,Mr. Iqbal Mishra,9186748119,BIO0179,Right Thumb,FP-UGF23AI179-F00,38,Startek FM220U,2024-06-14,Active,Right Middle
Lalita Zende,Lalita,,Zende,Male,2003-12-11,UGF23AI180,C27,EN2423AI180,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9587173220,lalita.zende74@jit.edu,Prof. Ishaan Zende,9951580447,BIO0180,Right Little,FP-UGF23AI180-F04,62,Secugen Hamster Pro,2024-06-14,Active,Left Little
Rahul Sai Jadhav,Rahul,Sai,Jadhav,Male,2003-04-14,UGF23AI181,A28,EN2423AI181,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9883415470,rahul.jadhav22@jit.edu,Dr. Jayesh Jadhav,9435569630,BIO0181,Right Ring,FP-UGF23AI181-F03,60,Startek FM220U,2024-06-16,Active,Right Middle
Pallavi Devi Pillai,Pallavi,Devi,Pillai,Female,2003-02-03,UGF23AI182,B28,EN2423AI182,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9697398528,pallavi.pillai17@jit.edu,Dr. Sarita Pillai,9231244840,BIO0182,Right Middle,FP-UGF23AI182-F02,44,ZKTeco K40,2024-06-13,Active,Left Middle
Ekta Raj Vaidya,Ekta,Raj,Vaidya,Female,2003-10-10,UGF23AI183,C28,EN2423AI183,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9328426553,ekta.vaidya29@jit.edu,Prof. Ravi Vaidya,9216198604,BIO0183,Right Little,FP-UGF23AI183-F04,40,ZKTeco K40,2024-06-15,Active,Left Index
Sneha Lal,Sneha,,Lal,Female,2003-07-28,UGF23AI184,A29,EN2423AI184,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9128189836,sneha.lal87@jit.edu,Dr. Anika Lal,9293720285,BIO0184,Right Little,FP-UGF23AI184-F04,35,Secugen Hamster Pro,2024-06-09,Active,Left Thumb
Zara Kumar Deshpande,Zara,Kumar,Deshpande,Female,2003-03-19,UGF23AI185,B29,EN2423AI185,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9895609471,zara.deshpande91@jit.edu,Mr. Harsha Deshpande,9901131404,BIO0185,Right Thumb,FP-UGF23AI185-F00,51,Startek FM220U,2024-06-05,Active,Left Middle
Neha Rao Banerjee,Neha,Rao,Banerjee,Male,2003-12-11,UGF23AI186,C29,EN2423AI186,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9156488296,neha.banerjee29@jit.edu,Mrs. Ila Banerjee,9763398699,BIO0186,Right Little,FP-UGF23AI186-F04,21,Secugen Hamster Pro,2024-06-02,Active,Left Thumb
Jayesh Junghare,Jayesh,,Junghare,Male,2003-08-14,UGF23AI187,A30,EN2423AI187,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9470626529,jayesh.junghare65@jit.edu,Mr. Soham Junghare,9828230915,BIO0187,Right Little,FP-UGF23AI187-F04,61,ZKTeco SF100,2024-06-18,Active,Left Little
Bhavna Das Bhosale,Bhavna,Das,Bhosale,Female,2003-10-02,UGF23AI188,B30,EN2423AI188,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9923935280,bhavna.bhosale27@jit.edu,Dr. Suresh Bhosale,9452318696,BIO0188,Right Middle,FP-UGF23AI188-F02,25,ZKTeco SF100,2024-06-26,Active,Left Middle
Dhruv Mukherjee,Dhruv,,Mukherjee,Male,2003-09-18,UGF23AI189,C30,EN2423AI189,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9896760809,dhruv.mukherjee15@jit.edu,Prof. Akash Mukherjee,9593657365,BIO0189,Right Thumb,FP-UGF23AI189-F00,22,Mantra MFS100,2024-06-05,Active,Left Middle
Chandra Sai Wagh,Chandra,Sai,Wagh,Female,2003-02-13,UGF23AI190,A31,EN2423AI190,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9594025283,chandra.wagh98@jit.edu,Dr. Harsha Wagh,9568915703,BIO0190,Right Index,FP-UGF23AI190-F01,72,Mantra MFS100,2024-06-26,Active,Left Middle
Yogesh Devi Bhosale,Yogesh,Devi,Bhosale,Female,2003-05-24,UGF23AI191,B31,EN2423AI191,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9182011731,yogesh.bhosale75@jit.edu,Mr. Yogesh Bhosale,9647556857,BIO0191,Right Middle,FP-UGF23AI191-F02,30,ZKTeco SF100,2024-06-16,Active,Left Index
Seema Lal Nambiar,Seema,Lal,Nambiar,Female,2003-02-05,UGF23AI192,C31,EN2423AI192,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9264142683,seema.nambiar93@jit.edu,Mr. Nisha Nambiar,9929839316,BIO0192,Right Index,FP-UGF23AI192-F01,58,ZKTeco SF100,2024-06-18,Active,Left Ring
Farhan Das,Farhan,,Das,Male,2003-11-11,UGF23AI193,A32,EN2423AI193,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9574817290,farhan.das90@jit.edu,Dr. Nandini Das,9394928601,BIO0193,Right Thumb,FP-UGF23AI193-F00,55,Startek FM220U,2024-06-22,Active,Left Little
Omkar Kumar,Omkar,,Kumar,Female,2003-01-12,UGF23AI194,B32,EN2423AI194,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9737888347,omkar.kumar74@jit.edu,Prof. Omkar Kumar,9723123952,BIO0194,Right Thumb,FP-UGF23AI194-F00,53,ZKTeco K40,2024-06-17,Active,Right Index
Ramesh Ghosh,Ramesh,,Ghosh,Male,2003-06-20,UGF23AI195,C32,EN2423AI195,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9583745511,ramesh.ghosh23@jit.edu,Dr. Devika Ghosh,9190547712,BIO0195,Right Index,FP-UGF23AI195-F01,50,Secugen Hamster Pro,2024-06-11,Active,Right Thumb
Lalit Unde,Lalit,,Unde,Male,2003-09-20,UGF23AI196,A33,EN2423AI196,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9515985367,lalit.unde62@jit.edu,Dr. Tushar Unde,9741975062,BIO0196,Right Middle,FP-UGF23AI196-F02,21,Mantra MFS100,2024-06-21,Active,Left Index
Ishaan Apte,Ishaan,,Apte,Male,2003-05-09,UGF23AI197,B33,EN2423AI197,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9187512088,ishaan.apte84@jit.edu,Mrs. Kedar Apte,9475617211,BIO0197,Right Index,FP-UGF23AI197-F01,37,Secugen Hamster Pro,2024-06-03,Inactive,Left Middle
Chandra Devi Banerjee,Chandra,Devi,Banerjee,Female,2003-09-13,UGF23AI198,C33,EN2423AI198,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9200344359,chandra.banerjee92@jit.edu,Prof. Varun Banerjee,9488509962,BIO0198,Right Index,FP-UGF23AI198-F01,19,Mantra MFS100,2024-06-06,Active,Right Ring
Yash Ghosh,Yash,,Ghosh,Male,2003-04-05,UGF23AI199,A34,EN2423AI199,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9645127678,yash.ghosh79@jit.edu,Mr. Rajesh Ghosh,9461597989,BIO0199,Right Middle,FP-UGF23AI199-F02,67,ZKTeco K40,2024-06-22,Active,Left Middle
Om Bhatia,Om,,Bhatia,Female,2003-12-15,UGF23AI200,B34,EN2423AI200,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9576954730,om.bhatia88@jit.edu,Dr. Ila Bhatia,9903734960,BIO0200,Right Middle,FP-UGF23AI200-F02,68,Startek FM220U,2024-06-25,Active,Left Little
Chetan Ingole,Chetan,,Ingole,Female,2003-08-25,UGF23AI201,C34,EN2423AI201,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9549533634,chetan.ingole30@jit.edu,Mrs. Pushpa Ingole,9749252434,BIO0201,Right Little,FP-UGF23AI201-F04,26,Startek FM220U,2024-06-17,Active,Right Thumb
Dayanand Rao Zende,Dayanand,Rao,Zende,Male,2003-02-23,UGF23AI202,A35,EN2423AI202,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9919390458,dayanand.zende30@jit.edu,Dr. Madhuri Zende,9651208305,BIO0202,Right Middle,FP-UGF23AI202-F02,27,ZKTeco K40,2024-06-10,Active,Right Index
Ravi Hegde,Ravi,,Hegde,Male,2003-01-14,UGF23AI203,B35,EN2423AI203,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9353164777,ravi.hegde59@jit.edu,Mr. Chetan Hegde,9341096660,BIO0203,Right Little,FP-UGF23AI203-F04,19,Startek FM220U,2024-06-25,Active,Right Index
Priti Ram Dubey,Priti,Ram,Dubey,Male,2003-03-02,UGF23AI204,C35,EN2423AI204,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9581682167,priti.dubey88@jit.edu,Mr. Iqbal Dubey,9185068029,BIO0204,Right Index,FP-UGF23AI204-F01,19,Startek FM220U,2024-06-17,Active,Right Ring
Firoz Unde,Firoz,,Unde,Male,2003-07-04,UGF23AI205,A36,EN2423AI205,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9230833665,firoz.unde16@jit.edu,Mrs. Isha Unde,9786069196,BIO0205,Right Index,FP-UGF23AI205-F01,68,Mantra MFS100,2024-06-02,Active,Right Middle
Iqbal Ingle,Iqbal,,Ingle,Female,2003-09-01,UGF23AI206,B36,EN2423AI206,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9871531100,iqbal.ingle28@jit.edu,Dr. Jayesh Ingle,9101679695,BIO0206,Right Little,FP-UGF23AI206-F04,57,Secugen Hamster Pro,2024-06-06,Active,Left Middle
Sarita Devi Unde,Sarita,Devi,Unde,Female,2003-06-03,UGF23AI207,C36,EN2423AI207,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9695016134,sarita.unde12@jit.edu,Prof. Dayanand Unde,9604803700,BIO0207,Right Little,FP-UGF23AI207-F04,20,Secugen Hamster Pro,2024-06-10,Active,Left Index
Akash Rao Rao,Akash,Rao,Rao,Male,2003-06-08,UGF23AI208,A37,EN2423AI208,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9243247463,akash.rao15@jit.edu,Dr. Bhushan Rao,9463512350,BIO0208,Right Little,FP-UGF23AI208-F04,70,ZKTeco K40,2024-06-03,Active,Left Ring
Rekha Nath Tiwari,Rekha,Nath,Tiwari,Male,2003-02-23,UGF23AI209,B37,EN2423AI209,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9316456682,rekha.tiwari15@jit.edu,Mrs. Gunjan Tiwari,9144996163,BIO0209,Right Thumb,FP-UGF23AI209-F00,38,Startek FM220U,2024-06-02,Active,Left Little
Seema Mane,Seema,,Mane,Male,2003-05-02,UGF23AI210,C37,EN2423AI210,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9938422254,seema.mane16@jit.edu,Dr. Siddharth Mane,9233654018,BIO0210,Right Middle,FP-UGF23AI210-F02,69,ZKTeco SF100,2024-06-02,Active,Left Middle
Hitesh Prakash Gaikwad,Hitesh,Prakash,Gaikwad,Female,2003-03-16,UGF23AI211,A38,EN2423AI211,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9386389162,hitesh.gaikwad20@jit.edu,Prof. Gaurav Gaikwad,9562360908,BIO0211,Right Middle,FP-UGF23AI211-F02,56,Startek FM220U,2024-06-04,Inactive,Right Ring
Vikas Prasad Nair,Vikas,Prasad,Nair,Female,2003-06-22,UGF23AI212,B38,EN2423AI212,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9870584681,vikas.nair64@jit.edu,Mrs. Abhishek Nair,9576642996,BIO0212,Right Ring,FP-UGF23AI212-F03,40,Mantra MFS100,2024-06-17,Active,Left Index
Kiran Chand Mishra,Kiran,Chand,Mishra,Female,2003-02-22,UGF23AI213,C38,EN2423AI213,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9960170255,kiran.mishra96@jit.edu,Mrs. Anika Mishra,9253308283,BIO0213,Right Middle,FP-UGF23AI213-F02,72,Startek FM220U,2024-06-06,Active,Left Ring
Dev Das Londhe,Dev,Das,Londhe,Female,2003-06-13,UGF23AI214,A39,EN2423AI214,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9829137330,dev.londhe67@jit.edu,Dr. Chetan Londhe,9576676179,BIO0214,Right Little,FP-UGF23AI214-F04,66,ZKTeco K40,2024-06-08,Active,Right Middle
Fatima Ram Upadhyay,Fatima,Ram,Upadhyay,Female,2003-04-04,UGF23AI215,B39,EN2423AI215,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9515524530,fatima.upadhyay81@jit.edu,Mr. Shruti Upadhyay,9932111777,BIO0215,Right Ring,FP-UGF23AI215-F03,34,ZKTeco SF100,2024-06-26,Active,Right Little
Soham Iyer,Soham,,Iyer,Male,2003-02-05,UGF23AI216,C39,EN2423AI216,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9194264587,soham.iyer97@jit.edu,Dr. Sarita Iyer,9473045064,BIO0216,Right Index,FP-UGF23AI216-F01,63,Startek FM220U,2024-06-24,Active,Left Little
Tanvi Nath Chopra,Tanvi,Nath,Chopra,Female,2003-06-17,UGF23AI217,A40,EN2423AI217,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9354193540,tanvi.chopra73@jit.edu,Mr. Anjali Chopra,9694875990,BIO0217,Right Index,FP-UGF23AI217-F01,54,ZKTeco K40,2024-06-19,Active,Left Little
Gunjan Devi Rao,Gunjan,Devi,Rao,Male,2003-05-13,UGF23AI218,B40,EN2423AI218,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9925884151,gunjan.rao62@jit.edu,Mr. Lakshmi Rao,9440405868,BIO0218,Right Little,FP-UGF23AI218-F04,59,Startek FM220U,2024-06-04,Active,Left Ring
Zara Lal Zende,Zara,Lal,Zende,Female,2003-11-19,UGF23AI219,C40,EN2423AI219,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9159499094,zara.zende25@jit.edu,Mrs. Tanvi Zende,9276799196,BIO0219,Right Ring,FP-UGF23AI219-F03,28,ZKTeco SF100,2024-06-21,Active,Right Little
Wasim Bala Nair,Wasim,Bala,Nair,Female,2003-05-07,UGF23AI220,A41,EN2423AI220,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9771112648,wasim.nair48@jit.edu,Mr. Urmila Nair,9788255012,BIO0220,Right Middle,FP-UGF23AI220-F02,28,Secugen Hamster Pro,2024-06-06,Active,Right Ring
Lalita Gaikwad,Lalita,,Gaikwad,Female,2003-10-02,UGF23AI221,B41,EN2423AI221,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9384172112,lalita.gaikwad93@jit.edu,Mrs. Kamla Gaikwad,9714327645,BIO0221,Right Thumb,FP-UGF23AI221-F00,44,ZKTeco K40,2024-06-26,Active,Right Index
Mahesh Wagh,Mahesh,,Wagh,Male,2003-11-10,UGF23AI222,C41,EN2423AI222,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9586989309,mahesh.wagh19@jit.edu,Mr. Neha Wagh,9572022811,BIO0222,Right Ring,FP-UGF23AI222-F03,44,ZKTeco SF100,2024-06-11,Active,Right Little
Meera Ram Chatterjee,Meera,Ram,Chatterjee,Male,2003-12-28,UGF23AI223,A42,EN2423AI223,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9652955706,meera.chatterjee81@jit.edu,Mr. Vanshika Chatterjee,9359564054,BIO0223,Right Index,FP-UGF23AI223-F01,47,Startek FM220U,2024-06-15,Active,Left Ring
Ishaan Raj Wagh,Ishaan,Raj,Wagh,Female,2003-07-28,UGF23AI224,B42,EN2423AI224,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9973465185,ishaan.wagh51@jit.edu,Dr. Pankaj Wagh,9919395339,BIO0224,Right Index,FP-UGF23AI224-F01,28,Startek FM220U,2024-06-07,Active,Left Little
Farhan Bala Pawar,Farhan,Bala,Pawar,Female,2003-01-03,UGF23AI225,C42,EN2423AI225,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9331009561,farhan.pawar84@jit.edu,Dr. Chirag Pawar,9154267347,BIO0225,Right Ring,FP-UGF23AI225-F03,36,Secugen Hamster Pro,2024-06-14,Active,Left Ring
Aditi Prasad Hivrale,Aditi,Prasad,Hivrale,Male,2003-03-09,UGF23AI226,A43,EN2423AI226,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9148578655,aditi.hivrale61@jit.edu,Mr. Esha Hivrale,9703246271,BIO0226,Right Ring,FP-UGF23AI226-F03,30,Mantra MFS100,2024-06-03,Active,Left Thumb
Urmila Zende,Urmila,,Zende,Female,2003-05-27,UGF23AI227,B43,EN2423AI227,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9203810954,urmila.zende60@jit.edu,Dr. Nandini Zende,9464090064,BIO0227,Right Thumb,FP-UGF23AI227-F00,53,Secugen Hamster Pro,2024-06-07,Active,Right Ring
Varun Prakash Raut,Varun,Prakash,Raut,Male,2003-01-02,UGF23AI228,C43,EN2423AI228,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9657629251,varun.raut68@jit.edu,Mrs. Jatin Raut,9653520069,BIO0228,Right Middle,FP-UGF23AI228-F02,26,ZKTeco SF100,2024-06-25,Active,Left Index
Kalpesh Bala Hande,Kalpesh,Bala,Hande,Female,2003-06-17,UGF23AI229,A44,EN2423AI229,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9421897671,kalpesh.hande70@jit.edu,Mr. Chetan Hande,9455665802,BIO0229,Right Ring,FP-UGF23AI229-F03,61,Secugen Hamster Pro,2024-06-10,Active,Left Middle
Nandini Kumar Ingle,Nandini,Kumar,Ingle,Female,2003-08-09,UGF23AI230,B44,EN2423AI230,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9874597473,nandini.ingle16@jit.edu,Prof. Nikhil Ingle,9662890182,BIO0230,Right Little,FP-UGF23AI230-F04,58,Secugen Hamster Pro,2024-06-06,Active,Left Middle
Vidya Das Kumar,Vidya,Das,Kumar,Male,2003-10-23,UGF23AI231,C44,EN2423AI231,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9436824737,vidya.kumar63@jit.edu,Mrs. Hina Kumar,9841419015,BIO0231,Right Thumb,FP-UGF23AI231-F00,31,ZKTeco SF100,2024-06-23,Active,Left Ring
Gajanan Raj Tiwari,Gajanan,Raj,Tiwari,Female,2003-09-07,UGF23AI232,A45,EN2423AI232,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9504612520,gajanan.tiwari50@jit.edu,Mrs. Navin Tiwari,9672440825,BIO0232,Right Ring,FP-UGF23AI232-F03,39,Mantra MFS100,2024-06-09,Active,Left Thumb
Pankaj Das Upadhyay,Pankaj,Das,Upadhyay,Female,2003-09-10,UGF23AI233,B45,EN2423AI233,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9841139461,pankaj.upadhyay72@jit.edu,Dr. Rekha Upadhyay,9474524558,BIO0233,Right Middle,FP-UGF23AI233-F02,53,Mantra MFS100,2024-06-19,Active,Left Thumb
Faisal Naik,Faisal,,Naik,Male,2003-07-27,UGF23AI234,C45,EN2423AI234,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9408840720,faisal.naik20@jit.edu,Dr. Mithun Naik,9574997731,BIO0234,Right Middle,FP-UGF23AI234-F02,59,ZKTeco SF100,2024-06-15,Active,Left Ring
Tariq Thakur,Tariq,,Thakur,Female,2003-09-23,UGF23AI235,A46,EN2423AI235,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9895525625,tariq.thakur85@jit.edu,Mrs. Sakshi Thakur,9154508960,BIO0235,Right Thumb,FP-UGF23AI235-F00,60,ZKTeco SF100,2024-06-18,Active,Right Little
Chirag Prasad Dalvi,Chirag,Prasad,Dalvi,Male,2003-06-23,UGF23AI236,B46,EN2423AI236,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9690936560,chirag.dalvi30@jit.edu,Prof. Priti Dalvi,9610778600,BIO0236,Right Index,FP-UGF23AI236-F01,48,ZKTeco K40,2024-06-11,Active,Left Thumb
Onkar Raj Pillai,Onkar,Raj,Pillai,Female,2003-11-19,UGF23AI237,C46,EN2423AI237,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9548700579,onkar.pillai32@jit.edu,Mr. Vimal Pillai,9526269674,BIO0237,Right Thumb,FP-UGF23AI237-F00,68,Secugen Hamster Pro,2024-06-19,Active,Left Thumb
Aditi Bala Bhange,Aditi,Bala,Bhange,Female,2003-10-04,UGF23AI238,A47,EN2423AI238,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9662982736,aditi.bhange73@jit.edu,Mrs. Yamini Bhange,9641394238,BIO0238,Right Ring,FP-UGF23AI238-F03,47,Mantra MFS100,2024-06-16,Active,Right Index
Firoz Reddy,Firoz,,Reddy,Female,2003-12-06,UGF23AI239,B47,EN2423AI239,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9824132709,firoz.reddy34@jit.edu,Mrs. Kalpesh Reddy,9785826598,BIO0239,Right Middle,FP-UGF23AI239-F02,43,Mantra MFS100,2024-06-26,Active,Left Little
Girish Prasad Deshpande,Girish,Prasad,Deshpande,Male,2003-03-16,UGF23AI240,C47,EN2423AI240,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9511859868,girish.deshpande40@jit.edu,Prof. Ila Deshpande,9386682971,BIO0240,Right Thumb,FP-UGF23AI240-F00,39,ZKTeco SF100,2024-06-16,Active,Right Index
Anjali Das Mishra,Anjali,Das,Mishra,Male,2003-11-04,UGF23AI241,A48,EN2423AI241,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9836665942,anjali.mishra74@jit.edu,Dr. Abhishek Mishra,9226074193,BIO0241,Right Index,FP-UGF23AI241-F01,58,Mantra MFS100,2024-06-12,Active,Left Thumb
Ravi Das Tiwari,Ravi,Das,Tiwari,Male,2003-08-05,UGF23AI242,B48,EN2423AI242,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9853703117,ravi.tiwari80@jit.edu,Prof. Ila Tiwari,9677155220,BIO0242,Right Middle,FP-UGF23AI242-F02,69,Secugen Hamster Pro,2024-06-12,Active,Right Little
Vidya Nair,Vidya,,Nair,Female,2003-09-15,UGF23AI243,C48,EN2423AI243,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9220483278,vidya.nair17@jit.edu,Mrs. Faisal Nair,9676234459,BIO0243,Right Thumb,FP-UGF23AI243-F00,27,Mantra MFS100,2024-06-10,Active,Left Little
Vidya Shankar Gite,Vidya,Shankar,Gite,Male,2003-08-03,UGF23AI244,A49,EN2423AI244,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9241674152,vidya.gite75@jit.edu,Prof. Navin Gite,9705495031,BIO0244,Right Thumb,FP-UGF23AI244-F00,21,Startek FM220U,2024-06-10,Active,Left Thumb
Fatima Chand Hatwar,Fatima,Chand,Hatwar,Male,2003-12-07,UGF23AI245,B49,EN2423AI245,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9469935052,fatima.hatwar99@jit.edu,Mr. Bhushan Hatwar,9164698991,BIO0245,Right Thumb,FP-UGF23AI245-F00,22,ZKTeco K40,2024-06-08,Inactive,Left Ring
Hina Nath Tiwari,Hina,Nath,Tiwari,Male,2003-11-24,UGF23AI246,C49,EN2423AI246,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9581613078,hina.tiwari58@jit.edu,Prof. Gaurav Tiwari,9833076128,BIO0246,Right Middle,FP-UGF23AI246-F02,60,Startek FM220U,2024-06-06,Active,Right Ring
Zara Prasad Chopra,Zara,Prasad,Chopra,Male,2003-09-13,UGF23AI247,A50,EN2423AI247,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9911941471,zara.chopra12@jit.edu,Dr. Omkar Chopra,9823164961,BIO0247,Right Index,FP-UGF23AI247-F01,64,ZKTeco SF100,2024-06-10,Active,Left Little
Ritika Das Kale,Ritika,Das,Kale,Male,2003-06-05,UGF23AI248,B50,EN2423AI248,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-B,9969170578,ritika.kale94@jit.edu,Prof. Kalpesh Kale,9922543647,BIO0248,Right Thumb,FP-UGF23AI248-F00,19,ZKTeco SF100,2024-06-18,Active,Right Middle
Arjun Ingle,Arjun,,Ingle,Male,2003-11-23,UGF23AI249,C50,EN2423AI249,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-C,9571332733,arjun.ingle39@jit.edu,Mrs. Ila Ingle,9933291969,BIO0249,Right Thumb,FP-UGF23AI249-F00,21,ZKTeco SF100,2024-06-25,Active,Left Thumb
Kedar Chatterjee,Kedar,,Chatterjee,Male,2003-10-20,UGF23AI250,A51,EN2423AI250,CSE (AI & ML),B.Tech,3rd Year / VI,CSE-AIML-A,9253824712,kedar.chatterjee94@jit.edu,Mrs. Hina Chatterjee,9422660441,BIO0250,Right Index,FP-UGF23AI250-F01,35,Mantra MFS100,2024-06-02,Active,Right Ring
